All,הכל
"You deleted the store view.","מחקת את תצוגת החנות."
"Unable to delete the store view. Please try again later.","אין אפשרות למחוק את תצוגת החנות.. אנא, נסה שוב מאוחר יותר."
"This website cannot be deleted.","אין אפשרות למחור את אתר האינטרנט הנוכחי."
"You deleted the website.","מחקת את אתר האינטרנט."
"Unable to delete the website. Please try again later.","אין אפשרות למחוק את האתר. אנא נסה שוב מאוחר יותר."
"The website does not exist.","אתר אינטרנט זה אינו קיים."
"Before modifying the website code please make sure it is not used in index.php.","לפני שאתה משנה את הקוד באתר אנא ודא שהוא לא בשימוש ב- index. php."
"The store does not exist","החנות אינה קיימת"
"Store view doesn't exist","תצוגת חנות אינה קיימת"
"Before modifying the store view code please make sure it is not used in index.php.","לפני שאתה משנה את הקוד באתר האיטרנט , אנא ודא שהוא לא בשימוש ב- index. php."
"New ","חדש "
"All Stores","כל החנויות"
"You saved the website.","שמרת את אתר האינטרנט."
"The default store cannot be disabled","לא ניתן לבטל את החנות ברירת המחדל"
"You saved the store view.","שמרת את תצוגת החנות."
"An inactive store view cannot be saved as default store view","לא ניתן לשמור תצוגה של החנות לא פעילה כברירת המחדל של תצוגת החנות"
"You saved the store.","שמרת את החנות."
"Something went wrong while saving. Please review the error log.","תהליך השמירה השתבש, אנא בדוק את ה-Error Log."
"Authentication storage is incorrect.","אחסון האימות אינו נכון."
"Last 24 Hours","יממה אחרונה"
"Last 7 Days","7 ימים אחרונים"
"Current Month","החודש הנוכחי"
YTD,"שנה אחת"
2YTD,שנתיים
Order,הזמנה
"Order #%1","הזמנה #%1"
"Sorry, you need permissions to view this content.",". מצטער, אתה צריך הרשאות להצגת תוכן זה."
"Next steps","השלבים הבאים"
"If you think this is an error, try signing out and signing in again.","אם אתה חושב שזו שגיאה, נסה לצאת ולהיכנס שוב."
"Contact a system administrator or store owner to gain permissions.","פנה אל מנהל מערכת או בעל החנות כדי לקבל הרשאות."
"previous page","דף קודם"
"Welcome, please sign in","ברוכים הבאים, נא להתחבר"
Username,"שם משתמש"
"user name","שם משתמש"
Password,סיסמה
password,סיסמה
"Sign in",התחברות
"No Data Found","לא נמצאו נתונים"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","התרשים אינו זמין. כדי לאפשר את התרשים, לחץ <a href=""%1""> כאן</a>."
"Select Range:","בחר טווח:"
"Last Orders","הזמנות אחרונות"
"Last Search Terms","מונחי החיפוש האחרונים"
"Top Search Terms","מונחי חיפוש הנפוצים"
"There are no search keywords.","אין מילות מפתח החיפוש."
"View Statistics For:","להציג נתונים סטטיסטיים עבור:"
"All Websites","כל האתרים"
"Reload Data","רענן נתונים"
"Browse Files...","עיון קבצים..."
Magento,מג'נטו
"Copyright &copy; %1 Magento Commerce Inc. All rights reserved.","&copy; זכויות יוצרים %1 מג'נטו מסחר בע מ כל הזכויות שמורות."
"ver. %1","גרסא %1"
"Magento Admin Panel","פאנל הניהול של מג'נטו"
"Account Setting","הגדרות חשבון"
"Customer View","תצוגת לקוח"
"Sign Out",התנתק
"About the calendar","על לוח השנה"
"Go Today","לך היום"
Previous,הקודם
Next,הבא
Time,זמן
Hour,שעה
Minute,דקה
"JavaScript may be disabled in your browser.","ייתכן וה-JavaScript ינוטרל בדפדפן שלך."
"To use this website you must first enable JavaScript in your browser.","כדי להשתמש באתר זה עליך לאפשר JavaScript בדפדפן שלך."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","זוהי חנות הדגמה בלבד. ניתן לעיין ולבצע הזמנות, אבל לא תחוייב."
"Report an Issue","דווח על בעיה"
"Stores Configuration","הגדרות חנויות"
"Additional Cache Management","ניהול Cache נוספים"
"Flush Catalog Images Cache","נקה Cache של קטלוג תמונות"
"Pregenerated product images files","קבצי תמונות המוצר לפני יצירה"
"Flush JavaScript/CSS Cache","נקה JavaScript/CSS Cache"
"Themes JavaScript and CSS files combined to one file","תבניות העיצוב של JavaScript ו- CSS ירוכזו לקובץ אחד"
"Flush Static Files Cache","נקה cache של קבצים סטטים"
"Preprocessed view files and static files","עיבוד מקדים עבור הצגת קבצים וקבצים סטטיים"
Catalog,קטלוג
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"No records found.","לא נמצאו רשומות."
Images,תמונות
"Big Image","תמונה גדולה"
Thumbnail,"תמונה ממוזערת"
"Additional Settings","הגדרות נוספות"
"records found","נמצאו רשומות"
selected,נבחר
"per page","לכל עמוד"
"Previous page","דף קודם"
"of %1","של %1"
"Next page","הדף הבא"
"Export to:","ייצוא ל-:"
"Mass Actions","פעולות מסיביות"
"Unselect All","הסר הכל"
"Select Visible","בחר גלוי"
"Unselect Visible","ביטול בחירה של גלוי"
"Changes have been made to this section that have not been saved.","שינויים שבוצעו במקטע זה לא נשמרו."
"This tab contains invalid data. Please resolve this before saving.","כרטיסיה זו מכילה נתונים לא חוקיים. בבקשה תקן את זה לפני השמירה."
"The information in this tab has been changed.","המידע בכרטיסיה זו השתנה."
Loading...,טוען...
"User Agent Rules","כללי סוכן משתמש"
"We could not detect a size.","לא הצלחנו לזהות את הגודל."
"Please confirm scope switching. All data that hasn't been saved will be lost.","אנא אשרו את החלפת המקבץ. כל הנתונים אשר לא נשמר יאבדו."
"Allow everything","אפשר הכל"
"Magento Admin","מנהל מערכת מג'נטו"
"Global Search","חיפוש כללי"
Marketing,שיווק
"SEO & Search","קידום אתרים & חיפוש"
"User Content","תוכן משתמש"
Content,תוכן
Elements,אלמנטים
Design,עיצוב
Schedule,"לוח זמנים"
Settings,הגדרות
Attributes,תכונות
"Other Settings","הגדרות אחרות"
"Data Transfer","העברת נתונים"
"Connect Manager","התחבר למנהל"
"Package Extensions","חבילת הרחבות"
Tools,כלים
Currency,מטבע
Communications,תקשורת
Services,שירותים
Advanced,מתקדם
"Disable Modules Output","בטל את פלט המודולים"
"Store Email Addresses","כתובת דוא""ל של חנות"
"Custom Email 1","דואר אלקטרוני מותאם אישית 1"
"Sender Email","דואר אלקטרוני של השולח"
"Sender Name","שם השולח"
"Custom Email 2","דואר אלקטרוני מותאם אישית 2"
"General Contact","איש קשר כללי"
"Sales Representative","נציג מכירות"
"Customer Support","שירות לקוחות"
Developer,מפתח
"Template Settings","הגדרות התבנית"
"Allow Symlinks","לאפשר סימלינקס"
"Minify Html","כווץ Html"
"Minification is not applied in developer mode.","מיניפיקציה לא חלה במצב מפתח."
"Translate Inline","תרגם בתוך השורה"
"Enabled for Storefront","זמין עבור צד החנות"
"Enabled for Admin","זמין עבור מנהל"
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.","תרגומים, בלוקים, מטמונים ופלטים אחרים צריכים שיהיו מנוטרלים גם בצד-לקוח וגם בממשק ניהול בתרגומי שורה פנימיים."
"JavaScript Settings","הגדרות JavaScript"
"Merge JavaScript Files","מזג קבצי סקריפט"
"Enable JavaScript Bundling","אפשר איחוד Javascript"
"Minify JavaScript Files","כווץ קבצי סקריפט"
"CSS Settings","הגדרות CSS"
"Merge CSS Files","מזג קבצי CSS"
"Minify CSS Files","כווץ קבצי CSS"
"Image Processing Settings","הגדרות עיבוד תמונה"
"Image Adapter","מתאם תמונה"
"Static Files Settings","הגדרות קבצים סטטיים"
"Sign Static Files","לחתום על קבצים סטטיים"
"Country Options","אפשרויות ארץ"
"Allow Countries","לאפשר מדינות"
"Default Country","מדינת בררת מחדל"
"European Union Countries","מדינות האיחוד האירופי"
"Top destinations","היעדים המובילים"
"Locale Options","אפשרויות אזור"
Timezone,"אזור זמן"
Locale,מיקום
"First Day of Week","היום הראשון בשבוע"
"Weekend Days","ימי סוף שבוע"
"Store Name","שם החנות"
"Store Phone Number","מספר הטלפון של החנות"
"Store Hours of Operation","שעות פעילות החנות"
Country,ארץ
Region/State,אזור/מדינה
"ZIP/Postal Code",מיקוד
City,עיר
"Street Address","כתובת רחוב"
"Street Address Line 2","רחוב שורה 2"
"VAT Number","מספר המע""מ"
"Single-Store Mode","מצב יחיד-חנות"
"Enable Single-Store Mode","הפעלת מצב יחיד-חנות"
"This setting will not be taken into account if system has more than one store view.","הגדרה זו לא תיעשה בחשבון אם למערכת יש אחד או יותר בתצוגת החנות."
"Mail Sending Settings","הגדרות שליחת דואר"
"Disable Email Communications","אל תאפשר הודעות דואר אלקטרוני"
Host,אחסון
"Set Return-Path","להגדיר נתיב החזרה"
"Return-Path Email","נתיב חזרה של דואר אלקטרוני"
Admin,"ממשק ניהול"
"Admin User Emails","מיילים למשתמש מנהל"
"Forgot Password Email Template","תבנית עבור דואר אלקטרוני של שכחתי סיסמה"
"Email template chosen based on theme fallback when ""Default"" option is selected.","תבנית המייל הנבחר בהתבסס על ירושת התבנית כשבוחרים באפשרות ""ברירת מחדל""."
"Forgot and Reset Email Sender","איפוס ותזכור עבור דואר אלקטרוני של שולח"
